category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,URL,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,brightness,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,brand,video_memory,chipset,hdd_capacity
laptop,"Dell Latitude 7410 2019 Ноутбук 14"", Intel Core i7-10610U, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, черный, черно-серый, Русская раскладка",,,20578,,,Золотая рыбка,4.8,https://www.ozon.kz/product/dell-latitude-7410-2019-noutbuk-14-intel-core-i7-10610u-ram-16-gb-ssd-512-gb-intel-uhd-3722618425/,Intel Core i7-10610U,512,Intel UHD Graphics,Windows Pro,14.0,16.0,,1.33,IPS,DDR4,"ABS пластик, Алюминиевый сплав, Алюминий, SBS пластик, Металл, Металлизированный материал, Пластик",Intel Core i5,Intel,1.8,4.0,1920x1080,,Нет,,Матовое,Встроенная,Intel,SSD,60,,,1.0,Intel,
laptop,"Lenovo ThinkBook 14 Gen 8 21SJ002AGQ Ноутбук 14"", RAM 16 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics, Без системы, (21SJ002AGQ), серый",,,39692,4.8,9,XCOM-SHOP,4.9,https://www.ozon.kz/product/lenovo-thinkbook-14-gen-8-21sj002agq-noutbuk-14-ram-16-gb-ssd-512-gb-intel-iris-xe-graphics-3044331938/,,512,Intel Iris Xe Graphics,Без системы,14.0,16.0,5.0,1.36,IPS,DDR5,,Intel Core Ultra 5,Intel,1.5,12.0,1920x1200,300.0,Нет,45.0,Антибликовое,Встроенная,Intel,SSD,60,2.0,,,,
laptop,"OSiO 15.6"" BaseLine B150i-001c синий [английская/русская раскладка, 1920x1080, IPS, Intel Processor N100, 4 + 1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows 11 Home] Ноутбук",,,19510,,,Матрица,4.7,https://www.ozon.kz/product/osio-15-6-baseline-b150i-001c-siniy-angliyskaya-russkaya-raskladka-1920x1080-ips-intel-3159161977/,,,,,,,,,,,,Intel N100,,,,,,,,,,,,,,,,,
laptop,"Honor MagicBook X14 2025 Ноутбук 14"", Intel Core i3-1315U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (5301ALXB), серый, Русская раскладка",,,24749,4.8,239,Фирменный магазин H...,4.9,https://www.ozon.kz/product/honor-magicbook-x14-2025-noutbuk-14-intel-core-i3-1315u-ram-8-gb-ssd-512-gb-intel-uhd-graphics-2731991029/,Intel Core i3-1315U,512,Intel UHD Graphics,Без системы,14.0,8.0,,1.5,IPS,LPDDR4X,Пластик,Intel Core i3,Intel,1.2,8.0,1920x1200,,Нет,42.0,,Встроенная,Intel,SSD,,,,,Intel,
laptop,,,,,,,,,https://www.ozon.kz/product/apple-macbook-pro-15-2017-touch-bar-a1707-noutbuk-15-4-intel-core-i7-7820hq-ram-16-gb-ssd-512-gb-amd-3849488439/,Intel Core i7-7820HQ,512,AMD Radeon Pro 560 (4 Гб),MacOS,15.4,16.0,,1.83,IPS,LPDDR3,"Алюминиевый сплав, Алюминий, Металл, Нержавеющая сталь, Пластик, Сталь",Intel Core i7,Intel,2.9,4.0,2880x1800,,Нет,,Глянцевое,Гибридная,AMD,SSD,60,,,5.0,,
laptop,"ASUS Ноутбук 17.3"", Intel Core i3-1215U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, Русская раскладка",,,35974,,,Связной,4.9,https://www.ozon.kz/product/asus-noutbuk-17-3-intel-core-i3-1215u-ram-8-gb-ssd-512-gb-intel-uhd-graphics-windows-pro-3526755759/,Intel Core i3-1215U,512,Intel UHD Graphics,Windows Pro,17.3,8.0,6.0,2.1,IPS,GDDR4,Пластик,Intel Core i3,Intel,3.4,6.0,1920x1080,,Нет,,Матовое,Встроенная,Intel,SSD,60,,,,Intel,
laptop,"Apple MacBook Air m5 2026г 15 дюймов Ноутбук 15.3"", Apple M5 (10 CPU, 10 GPU), RAM 24 ГБ, SSD 1024 ГБ, Apple M5 GPU (10-core), MacOS, (MDVU4xx/A), голубой, Английская раскладка",1345671,2767246,112140,5.0,79,Mascot,4.9,https://www.ozon.kz/product/apple-macbook-air-m5-2026g-15-dyuymov-noutbuk-15-3-apple-m5-10-cpu-10-gpu-ram-24-gb-ssd-1024-3778790021/,"Apple M5 (10 CPU, 10 GPU)",1024,Apple M5 GPU (10-core),MacOS,15.3,24.0,18.0,1.51,IPS,LPDDR5X,Металл,Apple M5,Apple,4.4,10.0,2880x1800,,Нет,,Глянцевое,Встроенная,Apple,SSD,60,12,Apple,,,
laptop,"Ноутбук, (4NB1302176_MTC), разноцветный",18233,64646,1520,,,Hongjnhahdjaw,4.8,https://www.ozon.kz/product/noutbuk-4nb1302176-mtc-raznotsvetnyy-3622663942/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laptop,"Honor Ноутбук 14"", Intel Core i3-1315U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (5301ALXB), серый, Русская раскладка",,,23627,5.0,40,КомпьютерМаркет,4.8,https://www.ozon.kz/product/honor-noutbuk-14-intel-core-i3-1315u-ram-8-gb-ssd-512-gb-intel-uhd-graphics-bez-sistemy-2195906832/,Intel Core i3-1315U,512,Intel UHD Graphics,Без системы,14.0,8.0,8.5,1.5,IPS,DDR4,Металл,Intel Core i3,Intel,1.2,6.0,1920x1080,300.0,Нет,42.0,Матовое,Встроенная,Intel,SSD,60,1,,,,
laptop,"Thunderobot JT009K00KRU Ноутбук, серый",,,53568,,,М.Видео,4.8,https://www.ozon.kz/product/thunderobot-noutbuk-seryy-3684955162/,,,,,,,,,,,,,,2.1,8.0,,,,,,,,,165,,,,,
