category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,url,article,screen_diagonal,ram,os,internal_storage,screen_size,cpu,main_camera,matrix,type_of_tablet,brand,announcement_year,android_version,hz_screen,ppi,processor_brand,processor_cores,ghz_processor,brand_graphic_proccessor,video_processor,front_camera,keyboard,case_material,waterproof,battery_capacity,accessories_included,dimensions,weight_g,country_of_origin,ios_version,harmonyos_version
tablets,"Honor Планшет, 8.7"" 6 ГБ/128 ГБ, серый",,,11489.0,,,ROVER STORE,4.9,https://www.ozon.kz/product/honor-planshet-8-7-6-gb-128-gb-seryy-2935449826/,2935449826,8.7,6.0,Android,128,1340x800,Snapdragon 680,8.0,,Планшет,,,Android 15,,,Qualcomm,6,,Qualcomm,Adreno 610,5.0,,Металл,,7020,,211.8 x 124.8 x 8,365.0,Китай,,
tablets,"Apple Планшет iPad Pro M5 11 2025 + Pencil Pro, 11"" 12 ГБ/512 ГБ, черный, прозрачный",1129441.0,2166991.0,94121.0,4.9,136,Mascot,4.9,https://www.ozon.kz/product/apple-planshet-ipad-pro-m5-11-2025-pencil-pro-11-12-gb-512-gb-chernyy-prozrachnyy-3047083164/,3047083164,11.0,12.0,iOS,512,,M5,12.0,OLED,Планшет,Apple,2025,,,264.0,Apple,10,4.6,Apple,,12.0,Опционально,"Металл, Стекло",Нет,8320,Стилус,249.7*177.5*5.3,444.0,Китай,iOS 26,
tablets,"Doogee Планшет T10S, 10.1"" 6 ГБ/128 ГБ, серый",,,4793.0,5.0,9,MICS Distribution,4.9,https://www.ozon.kz/product/doogee-planshet-t10s-10-1-6-gb-128-gb-seryy-1816600896/,1816600896,10.1,6.0,Android,128,1920x1200,Tiger T606,8.0,IPS,Планшет,,,Android 13,,,Unisoc,8,1.6,ARM,Mali-G57 MP1,5.0,,Металл,Нет,6600,,242.3x161.1x8.4,563.0,Китай,,
tablets,"Honor Планшет HEY3-W00, 12.1"" 8 ГБ/128 ГБ, серый",,,12212.0,,,М.Видео,4.8,https://www.ozon.kz/product/honor-planshet-12-1-8-gb-128-gb-seryy-3637797568/,3637797568,12.1,8.0,Android,128,2560x1600,Snapdragon 7 Gen3,8.0,IPS,Планшет,,2025,Android 15,120,,Qualcomm,8,2.63,,,8.0,,"Металл, Стекло",,10000,,277.07*179.28*6.29 мм,525.0,Китай,,
tablets,"Планшет, 8"" 4 ГБ/64 ГБ, бежевый",166344.0,242489.0,13862.0,,,ИП Макушенко,4.7,https://www.ozon.kz/product/planshet-8-4-gb-64-gb-bezhevyy-3136671086/,3136671086,8.0,4.0,Android,64,1280x800,,,IPS,Планшет,,2024,,60,213.0,Unisoc,8,1.6,,,2.0,,Пластик,Нет,5000,,225х12х183,426.0,Китай,,
tablets,"RZUC Планшет S30, 14.0"" 32 ГБ/1024 ГБ, темно-серый",140332.0,480767.0,11695.0,4.7,367,RZUC цифровая техни...,4.7,https://www.ozon.kz/product/rzuc-planshet-s30-14-0-32-gb-1024-gb-temno-seryy-3732994574/,3732994574,14.0,32.0,Android,1024,3840x2160,Snapdragon 8 Elite Gen5,64.0,LCD,Планшет,,2026,Android 14,120,261.0,Qualcomm,8,4.32,Qualcomm,,32.0,Есть,"Металл, Стекло, Пластик, Нержавеющая сталь",Да,30000,"Стилус, Клавиатура",360×260×70,830.0,Китай,,
tablets,"Honor Планшет Международная версия Honor X8pro с поддержкой русского языка и бесплатным зарядным устройством мощностью 22,5 Вт, 11.5"" 6 ГБ/128 ГБ, черный, черный матовый",83964.0,415509.0,6997.0,,,Mini House,4.4,https://www.ozon.kz/product/honor-planshet-mezhdunarodnaya-versiya-honor-x8pro-s-podderzhkoy-russkogo-yazyka-i-3742666280/,3742666280,11.5,6.0,Android,128,2000x1200,Snapdragon 685,5.0,LCD,Планшет,Honor,,Android 13,120,203.0,Qualcomm,8,2.8,Qualcomm,Adreno 610,5.0,,Пластик,Нет,7250,,267.3*167.4*6.9,495.0,Китай,,
tablets,"Topdevice Детский планшет Kids Tablet K7 (TDT3887_WI_D_PK_CIS32GB), IPS 1024х600, Wi-Fi, BT 4.1, 3000mAh, 7"" 2 ГБ/32 ГБ, розовый",21099.0,115775.0,1759.0,,,Девайс 2.0,4.9,https://www.ozon.kz/product/topdevice-detskiy-planshet-kids-tablet-k7-tdt3887-wi-d-pk-cis32gb-ips-1024h600-wi-fi-bt-4-1-3000mah-3611729424/,3611729424,7.0,2.0,Android,32,1024x600,RK3566,2.0,IPS,Детский планшет,,2023,Android 11.x,60,,RockChip,4,1.8,ARM,,0.3,,Пластик,,3000,,204х130х11,318.0,Китай,,
tablets,"Poco Планшет Pad X1 Wi-Fi , 11.2"" 8 ГБ/512 ГБ, синий",,,19223.0,,,"""Смартфоны / Планше...",4.8,https://www.ozon.kz/product/poco-planshet-pad-x1-wi-fi-11-2-8-gb-512-gb-siniy-3424262854/,3424262854,11.2,8.0,Android,512,3200x2136,Snapdragon 7 Plus Gen3,13.0,IPS,Планшет,,2025,Android 15,144,345.0,Qualcomm,8,2.8,Qualcomm,Adreno 732,8.0,Опционально,Металл,Да,8850,,251.22* 173.42*6.18,500.0,,,
tablets,"Acer Планшет Gadget E10 ETPad Max (E10 ETPAD MAX), 12.96"" 512 ГБ, серый",,,79599.0,,,ТРИКЬЮ (3Q),4.9,https://www.ozon.kz/product/acer-planshet-gadget-e10-etpad-max-e10-etpad-max-12-96-512-gb-seryy-2369654289/,2369654289,12.96,,Windows,512,2880x1920,,8.0,,Планшет,Acer,2025,,,,Intel,6,1.2,Intel,UHD Graphics,5.0,,Металл,,4800,,"287,4x208,5x9",780.0,Китай,,
tablets,Планшет Fire HD 10,2795.0,5096.0,233.0,,,Bingxing,4.7,https://www.ozon.kz/product/planshet-fire-hd-10-3630800346/,3630800346,,,Android,,,,,,Планшет,,2023,,60,,,1,,Без видеокарты,,,Опционально,Пластик,Нет,,Стилус,250×170×16,120.0,Китай,,
