category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,discount_abs,discount_pct,ram_per_core,high_refresh_rate,cpu_power_proxy,res_w,res_h,pixel_count
laptop,"Lenovo ThinkBook 14 Gen 8 21SJ002AGQ Ноутбук 14"", RAM 16 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics, Без системы, (21SJ002AGQ), серый",424220.0,834731.0,39692.0,4.8,9.0,XCOM-SHOP,4.9,no_data,512.0,Intel Iris Xe Graphics,Без системы,14.0,16.0,5.0,1.36,IPS,DDR5,no_data,Intel Core Ultra 5,Intel,1.5,12.0,1920x1200,Нет,45.0,Антибликовое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,1.3333333333333333,False,18.0,1920.0,1200.0,2304000.0
laptop,"OSiO 15.6"" BaseLine B150i-001c синий [английская/русская раскладка, 1920x1080, IPS, Intel Processor N100, 4 + 1 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows 11 Home] Ноутбук",424220.0,834731.0,19510.0,4.9,30.0,Матрица,4.7,no_data,512.0,no_data,no_data,15.6,16.0,7.0,1.7,no_data,no_data,no_data,Intel N100,no_data,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,60.0,2.0,410511.0,49.18,2.0,False,20.8,1920.0,1080.0,2073600.0
laptop,"Honor MagicBook X14 2025 Ноутбук 14"", Intel Core i3-1315U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (5301ALXB), серый, Русская раскладка",424220.0,834731.0,24749.0,4.8,239.0,Фирменный магазин H...,4.9,Intel Core i3-1315U,512.0,Intel UHD Graphics,Без системы,14.0,8.0,7.0,1.5,IPS,LPDDR4X,Пластик,Intel Core i3,Intel,1.2,8.0,1920x1200,Нет,42.0,no_data,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,1.0,False,9.6,1920.0,1200.0,2304000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,Intel Core i7-7820HQ,512.0,AMD Radeon Pro 560 (4 Гб),MacOS,15.4,16.0,7.0,1.83,IPS,LPDDR3,"Алюминиевый сплав, Алюминий, Металл, Нержавеющая сталь, Пластик, Сталь",Intel Core i7,Intel,2.9,4.0,2880x1800,Нет,56.0,Глянцевое,Гибридная,AMD,SSD,60.0,2.0,410511.0,49.18,4.0,False,11.6,2880.0,1800.0,5184000.0
laptop,"ASUS Ноутбук 17.3"", Intel Core i3-1215U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, Русская раскладка",424220.0,834731.0,35974.0,4.9,30.0,Связной,4.9,Intel Core i3-1215U,512.0,Intel UHD Graphics,Windows Pro,17.3,8.0,6.0,2.1,IPS,GDDR4,Пластик,Intel Core i3,Intel,3.4,6.0,1920x1080,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,1.3333333333333333,False,20.4,1920.0,1080.0,2073600.0
laptop,"Apple MacBook Air m5 2026г 15 дюймов Ноутбук 15.3"", Apple M5 (10 CPU, 10 GPU), RAM 24 ГБ, SSD 1024 ГБ, Apple M5 GPU (10-core), MacOS, (MDVU4xx/A), голубой, Английская раскладка",1345671.0,2767246.0,112140.0,5.0,79.0,Mascot,4.9,"Apple M5 (10 CPU, 10 GPU)",1024.0,Apple M5 GPU (10-core),MacOS,15.3,24.0,18.0,1.51,IPS,LPDDR5X,Металл,Apple M5,Apple,4.4,10.0,2880x1800,Нет,56.0,Глянцевое,Встроенная,Apple,SSD,60.0,12.0,1421575.0,51.37,2.4,False,44.0,2880.0,1800.0,5184000.0
laptop,"Ноутбук, (4NB1302176_MTC), разноцветный",18233.0,64646.0,1520.0,4.9,30.0,Hongjnhahdjaw,4.8,no_data,512.0,no_data,no_data,15.6,16.0,7.0,1.7,no_data,no_data,no_data,no_data,no_data,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,60.0,2.0,46413.0,71.8,2.0,False,20.8,1920.0,1080.0,2073600.0
laptop,"Honor Ноутбук 14"", Intel Core i3-1315U, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (5301ALXB), серый, Русская раскладка",424220.0,834731.0,23627.0,5.0,40.0,КомпьютерМаркет,4.8,Intel Core i3-1315U,512.0,Intel UHD Graphics,Без системы,14.0,8.0,8.5,1.5,IPS,DDR4,Металл,Intel Core i3,Intel,1.2,6.0,1920x1080,Нет,42.0,Матовое,Встроенная,Intel,SSD,60.0,1.0,410511.0,49.18,1.3333333333333333,False,7.199999999999999,1920.0,1080.0,2073600.0
laptop,"Thunderobot JT009K00KRU Ноутбук, серый",424220.0,834731.0,53568.0,4.9,30.0,М.Видео,4.8,no_data,512.0,no_data,no_data,15.6,16.0,7.0,1.7,no_data,no_data,no_data,no_data,no_data,2.1,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,165.0,2.0,410511.0,49.18,2.0,True,16.8,1920.0,1080.0,2073600.0
laptop,"Apple MacBook Pro 14 M5 16/512 Silver Ноутбук 14.2"", RAM 16 ГБ, SSD 512 ГБ, MacOS, (MW2W3), серебристый, белый, Английская раскладка",1266184.0,2346782.0,105516.0,4.9,257.0,Mascot,4.9,no_data,512.0,no_data,MacOS,14.2,16.0,24.0,1.55,IPS,no_data,Алюминий,Apple M5,Apple,2.6,10.0,3024x1964,Нет,56.0,Глянцевое,Встроенная,Apple,SSD,120.0,2.0,1080598.0,46.05,1.6,True,26.0,3024.0,1964.0,5939136.0
